product id*;product index;attribute (name:type:position)*;value (value:position)*;supplier reference;reference;ean13;upc;MPN;wholesale price;impact on price;ecotax;quantity;minimal quantity;low stock level;send me an email when the quantity is under this level;impact on weight;default (0 = no, 1 = yes);combination available date;image position;image urls (x,y,z...);image alt texts (x,y,z...);id / name of shop;advanced stock managment;depends on stock;warehouse
60;;Kolor:color:0;jasny róż:0;;;;;;;;;15;;;;;;;;file:///images/23819-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23817-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23818-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23824-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg,file:///images/23825-large_default-torebka-nerka-jednorozec-fidget-rozowa.jpg;;;;;
68;;Kolor:color:0;czarny:0;;;;;;;;;0;;;;;;;;file:///images/23440-large_default-po-pit-spiderman.jpg,file:///images/23441-large_default-po-pit-spiderman.jpg;;;;;
68;;Kolor:color:0;Fioletowy:0;;;;;;;;;0;;;;;;;;file:///images/23440-large_default-po-pit-spiderman.jpg,file:///images/23441-large_default-po-pit-spiderman.jpg;;;;;
68;;Kolor:color:0;miętowy:0;;;;;;;;;0;;;;;;;;file:///images/23440-large_default-po-pit-spiderman.jpg,file:///images/23441-large_default-po-pit-spiderman.jpg;;;;;
70;;Kolor:color:0;jasny róż:0;;;;;;;;;4;;;;;;;;file:///images/23385-large_default-huggy-wuggy-popit-push-bubble-fidget.jpg;;;;;
70;;Kolor:color:0;Niebieski:0;;;;;;;;;0;;;;;;;;file:///images/23382-large_default-huggy-wuggy-popit-push-bubble-fidget.jpg,file:///images/23383-large_default-huggy-wuggy-popit-push-bubble-fidget.jpg,file:///images/23384-large_default-huggy-wuggy-popit-push-bubble-fidget.jpg;;;;;
119;;Kolor:color:0;Fioletowy:0;;;;;;;;;38;;;;;;;;file:///images/19933-large_default-fidget-toy-pop-it-dimple-z-brokatem.jpg,file:///images/19927-large_default-fidget-toy-pop-it-dimple-z-brokatem.jpg,file:///images/19928-large_default-fidget-toy-pop-it-dimple-z-brokatem.jpg;;;;;
119;;Kolor:color:0;zielony limonka:0;;;;;;;;;50;;;;;;;;file:///images/19932-large_default-fidget-toy-pop-it-dimple-z-brokatem.jpg,file:///images/19925-large_default-fidget-toy-pop-it-dimple-z-brokatem.jpg,file:///images/19926-large_default-fidget-toy-pop-it-dimple-z-brokatem.jpg,file:///images/19929-large_default-fidget-toy-pop-it-dimple-z-brokatem.jpg,file:///images/19930-large_default-fidget-toy-pop-it-dimple-z-brokatem.jpg,file:///images/19931-large_default-fidget-toy-pop-it-dimple-z-brokatem.jpg;;;;;
120;;Kolor:color:0;Czerwony:0;;;;;;;;;12;;;;;;;;file:///images/19899-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19902-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19900-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19901-large_default-sticky-gniotek-klejacy-zwierzatka.jpg;;;;;
120;;Kolor:color:0;Niebieski:0;;;;;;;;;12;;;;;;;;file:///images/19899-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19902-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19900-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19901-large_default-sticky-gniotek-klejacy-zwierzatka.jpg;;;;;
120;;Kolor:color:0;Żółty:0;;;;;;;;;12;;;;;;;;file:///images/19899-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19902-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19900-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19901-large_default-sticky-gniotek-klejacy-zwierzatka.jpg;;;;;
120;;Kolor:color:0;zielony limonka:0;;;;;;;;;12;;;;;;;;file:///images/19899-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19902-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19900-large_default-sticky-gniotek-klejacy-zwierzatka.jpg,file:///images/19901-large_default-sticky-gniotek-klejacy-zwierzatka.jpg;;;;;
138;;Kolor:color:0;jasny róż:0;;;;;;;;;84;;;;;;;;file:///images/19716-large_default-popit-owieczka-fidget-toy-bubble.jpg,file:///images/19715-large_default-popit-owieczka-fidget-toy-bubble.jpg,file:///images/19718-large_default-popit-owieczka-fidget-toy-bubble.jpg;;;;;
138;;Kolor:color:0;Niebieski:0;;;;;;;;;2;;;;;;;;file:///images/19717-large_default-popit-owieczka-fidget-toy-bubble.jpg,file:///images/19718-large_default-popit-owieczka-fidget-toy-bubble.jpg;;;;;
141;;Kolor:color:0;czarny:0;;;;;;;;;4;;;;;;;;file:///images/19629-large_default-spinner-simple-dimple-x-5.jpg,file:///images/19630-large_default-spinner-simple-dimple-x-5.jpg;;;;;
141;;Kolor:color:0;Biały:0;;;;;;;;;0;;;;;;;;file:///images/19634-large_default-spinner-simple-dimple-x-5.jpg,file:///images/19631-large_default-spinner-simple-dimple-x-5.jpg,file:///images/19632-large_default-spinner-simple-dimple-x-5.jpg,file:///images/19633-large_default-spinner-simple-dimple-x-5.jpg;;;;;
144;;Kolor:color:0;czarny:0;;;;;;;;;1;;;;;;;;file:///images/19531-large_default-spinner-dimple-fidget-toy.jpg,file:///images/19530-large_default-spinner-dimple-fidget-toy.jpg,file:///images/19535-large_default-spinner-dimple-fidget-toy.jpg,file:///images/19536-large_default-spinner-dimple-fidget-toy.jpg;;;;;
144;;Kolor:color:0;Biały:0;;;;;;;;;0;;;;;;;;file:///images/19534-large_default-spinner-dimple-fidget-toy.jpg,file:///images/19535-large_default-spinner-dimple-fidget-toy.jpg,file:///images/19536-large_default-spinner-dimple-fidget-toy.jpg;;;;;
144;;Kolor:color:0;Niebieski:0;;;;;;;;;0;;;;;;;;file:///images/19532-large_default-spinner-dimple-fidget-toy.jpg,file:///images/19533-large_default-spinner-dimple-fidget-toy.jpg,file:///images/19535-large_default-spinner-dimple-fidget-toy.jpg,file:///images/19536-large_default-spinner-dimple-fidget-toy.jpg;;;;;
164;;Kolor:color:0;Czerwony:0;;;;;;;;;0;;;;;;;;file:///images/18843-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18835-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18836-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18847-large_default-maskotka-dwustronna-among-us-impostor.jpg;;;;;
164;;Kolor:color:0;Niebieski:0;;;;;;;;;2;;;;;;;;file:///images/18845-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18839-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18840-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18847-large_default-maskotka-dwustronna-among-us-impostor.jpg;;;;;
164;;Kolor:color:0;Żółty:0;;;;;;;;;1;;;;;;;;file:///images/18846-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18841-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18842-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18847-large_default-maskotka-dwustronna-among-us-impostor.jpg;;;;;
164;;Kolor:color:0;Fioletowy:0;;;;;;;;;2;;;;;;;;file:///images/18844-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18838-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18837-large_default-maskotka-dwustronna-among-us-impostor.jpg,file:///images/18847-large_default-maskotka-dwustronna-among-us-impostor.jpg;;;;;
166;;Kolor:color:0;zielony limonka:0;;;;;;;;;16;;;;;;;;file:///images/18267-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18260-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18264-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18265-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg;;;;;
166;;Kolor:color:0;Szary:0;;;;;;;;;19;;;;;;;;file:///images/18257-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18264-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg;;;;;
166;;Kolor:color:0;Niebieski:0;;;;;;;;;14;;;;;;;;file:///images/18270-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18258-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg,file:///images/18259-large_default-octopus-osmiornica-pluszowa-maskotka-dwustronna.jpg;;;;;
