product id;active (0/1);name *;categories (x,y,z...);price tax excluded;tax rules id;wholesale price;on sale (0/1);discount amount;discount percent;discount from (yyyy-mm-dd);discount to (yyyy-mm-dd);reference #;supplier reference #;supplier;manufacturer;ean13;upc;MPN;ecotax;width;height;depth;weight;delivery time of in-stock products;delivery time of out-of-stock products with allowed orders;quantity;minimal quantity;low stock level;send me an email when the quantity is under this level;visibility;additional shipping cost;unity;unit price;summary;description;tags (x,y,z...);meta title;meta keywords;meta description;url rewritten;text when in stock;text when backorder allowed;available for order (0 = no, 1 = yes);product available date;product creation date;show price (0 = no, 1 = yes);image urls (x,y,z...);image alt texts (x,y,z...);delete existing images (0 = no, 1 = yes);feature(name:value:position);available online only (0 = no, 1 = yes);condition;customizable (0 = no, 1 = yes);uploadable files (0 = no, 1 = yes);text fields (0 = no, 1 = yes);out of stock action;virtual product;file url;number of allowed downloads;expiration date;number of days;id / name of shop;advanced stock management;depends on stock;warehouse;acessories  (x,y,z...)
20;1;Squishy Jumbo Rekin z dużymi oczami;Gniotki squishy;28.447154;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;8;;;;both;8.99;;;"<p>Nowość!</p>
<p>Duże squishy XXL z brokatowymi, dużymi oczami.</p>
<p>W ""głębokich"" oczkach brokat.</p>
<p>szerokość: 17cm</p>
<p>głębokość: 15cm</p>
<p>wysokość: 11cm</p>
<p>Rzeczywiste zdjęcia</p>";;;;;;;;;;;;;file:///images/20652-large_default-squishy-jumbo-rekin-z-duzymi-oczami.jpg,file:///images/20653-large_default-squishy-jumbo-rekin-z-duzymi-oczami.jpg,file:///images/20654-large_default-squishy-jumbo-rekin-z-duzymi-oczami.jpg;;;;;;;;;;;;;;;;;;;
21;1;Squishy maskotka - jednorożec z dużymi oczami;Gniotki squishy;32.512195;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;3;;;;both;8.99;;;"<p>Nowość!</p>
<p>Duże squishy z brokatowymi, dużymi oczami.</p>
<p>W ""głębokich"" oczkach brokat.</p>
<p>Rzeczywiste zdjęcia</p>";"<p>Wysokość 14,5 cm</p>
<p></p>
<p>Szerokość 11 cm </p>";;;;;;;;;;;;file:///images/20648-large_default-squishy-maskotka-jednorozec-z-duzymi-oczami.jpg,file:///images/20647-large_default-squishy-maskotka-jednorozec-z-duzymi-oczami.jpg,file:///images/20649-large_default-squishy-maskotka-jednorozec-z-duzymi-oczami.jpg;;;;;;;;;;;;;;;;;;;
22;1;Jellies orbeez squiqshy maskotka;Gniotki antystresowe;20.317073;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;66;;;;both;8.99;;;"<p>Pluszowy gniotek antystresowy z kuleczkami ORBEEZ</p>
<h2>jednorożec lub rekin</h2>
<p>Rewelacyjny ściskacz z dużą ilością kuleczek ORBEEZ i brokatu.</p>
<p>Gniotek squishy 1szt - doskonale ugniatający się. Z kuleczkami wewnątrz. Klasyczny gniotek w ciekawej oprawie. Możliwość ugniatania i zabawy. Dodatkowo maskotka !</p>";"<h2>Pluszowy Jednorożec Kawaii</h2>
<h3>* miły w dotyku, umili czas</h3>
<p>* odpręży, miło przelewające sie kuleczki żelowe</p>
<p>* milutka maskotka</p>
<p></p>
<p>* Rewelacyjny do ćwiczenia rączki w zabawny sposób, rekomendowany również jako narzędzie do rehabilitacji.</p>
<p>* Ćwiczy małą motorykę to doskonałe narzędzia do pracy podczas zajęć sensorycznych rozwijających małą motorykę</p>
<p>* Dorosłym osobom pomoże odreagować stres i wyciszyć emocje. Pełni funkcję gniotka odstresowywującego.</p>
<p></p>
<p>Uwaga! Przeznaczone do użytku pod nadzorem dorosłego.</p>";;;;;;;;;;;;file:///images/19215-large_default-jellies-orbeez-squiqshy-maskotka.jpg,file:///images/19216-large_default-jellies-orbeez-squiqshy-maskotka.jpg,file:///images/19217-large_default-jellies-orbeez-squiqshy-maskotka.jpg,file:///images/19218-large_default-jellies-orbeez-squiqshy-maskotka.jpg;;;;;;;;;;;;;;;;;;;
23;1;Squishy lód miś malinka;Gniotki squishy;24.382114;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;0;;;;both;8.99;;;"<p>Przesłodkie squishy.</p>
<p>Lód misio z malinką</p>";;;;;;;;;;;;;file:///images/20208-large_default-squishy-lod-mis-malinka.jpg,file:///images/20207-large_default-squishy-lod-mis-malinka.jpg;;;;;;;;;;;;;;;;;;;
24;1;Squishy gniotek lama;Gniotki squishy;34.138211;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;32;;;;both;8.99;;;"<p>Gniotek w wspaniałych kolorach.</p>
<p>Cudowna lama</p>";;;;;;;;;;;;;file:///images/20118-large_default-squishy-lama.jpg,file:///images/20117-large_default-squishy-lama.jpg,file:///images/20116-large_default-squishy-lama.jpg;;;;;;;;;;;;;;;;;;;
25;1;Squishy zielona limonka;Gniotki squishy;5.84878;1;;1;;40;2022-12-12;2023-01-12;;;;;;;;;;;;;;;15;;;;both;8.99;;;"<p>Kwaśna i słodka :)</p>
<p>LIMONKA SQUISHY<br />Pięknie malowana, super pachnąca i bardzo fajna do zgniatania.</p>";"<p>Rewelacyjny również dla dorosłych !!!<br />Ściskacz Squishy - rewelacyjna zabawka relaksacyjna<br />Sposób na zajęcie niecierpliwych dłoni jak również świetny do ćwiczeń sensorycznych - gniotka można ugniatać na wiele sposobów. Doskonały ściskacz do rozwijania sprawności ruchowej dłoni (mała motoryka).</p>
<p>CYTRYNKA <br />Wysokość: ok 5cm</p>
<p>Przyjemny zapach</p>
<p>Materiał: pianka spełniająca normy EN71-3</p>";;;;;;;;;;;;file:///images/20115-large_default-squishy-zielona-limonka.jpg,file:///images/20113-large_default-squishy-zielona-limonka.jpg,file:///images/20114-large_default-squishy-zielona-limonka.jpg;;;;;;;;;;;;;;;;;;;
26;1;Squishy tort jednorożec;Gniotki squishy;24.382114;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;35;;;;both;8.99;;;"<p>Najsłodszy torcik</p>
<p>Wysokość ~10cm</p>
<p>Średnica podstawy ~10cm</p>";;;;;;;;;;;;;file:///images/20112-large_default-squishy-tort-jednorozec.jpg,file:///images/20111-large_default-squishy-tort-jednorozec.jpg,file:///images/20110-large_default-squishy-tort-jednorozec.jpg;;;;;;;;;;;;;;;;;;;
27;1;Krab gniotek orbeez;Gniotki antystresowe;10.560976;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;54;;;;both;8.99;;;"<h1>Gniotek Wesoły Krab</h1>
<p>Krystalicznie sylikonowy z kuleczkami orbeez.</p>
<h2>Efekty krystaliczny.</h2>
<p>Piękne efekty krystaliczne oraz rewelacyjna zabawa.</p>
<p>Do wyboru kolor: różowy, niebieski, zielony, czerwony.</p>
<p></p>";"<p>W przypadku braku wskazania kolor niespodzianka.</p>
<p></p>
<p>Istnieje możliwość wskazania kolorystyki dla dziewczynki lub dla chłopca.</p>";;;;;;;;;;;;file:///images/19231-large_default-krab-gniotek-orbeez.jpg,file:///images/19230-large_default-krab-gniotek-orbeez.jpg,file:///images/19225-large_default-krab-gniotek-orbeez.jpg,file:///images/19224-large_default-krab-gniotek-orbeez.jpg,file:///images/19226-large_default-krab-gniotek-orbeez.jpg,file:///images/19227-large_default-krab-gniotek-orbeez.jpg,file:///images/19228-large_default-krab-gniotek-orbeez.jpg,file:///images/19229-large_default-krab-gniotek-orbeez.jpg;;;;;;;;;;;;;;;;;;;
28;1;Squishy misio lód;Gniotki squishy;10.560976;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;5;;;;both;8.99;;;"<p>Squishy lód - misio</p>
<p>brelok.</p>";;;;;;;;;;;;;file:///images/19044-large_default-squishy-misio-lod.jpg,file:///images/19043-large_default-squishy-misio-lod.jpg,file:///images/19045-large_default-squishy-misio-lod.jpg;;;;;;;;;;;;;;;;;;;
29;1;Squishy poo kolorowe emoji;Gniotki squishy;12.186992;1;;0;;;2022-12-12;2023-01-12;;;;;;;;;;;;;;;16;;;;both;8.99;;;"<p>Squishy poo, wesołe buźki</p>
<p></p>";<h3>Wybraną buźkę ze zdjęcia prosimy podać w komentarzu</h3>;;;;;;;;;;;;file:///images/18967-large_default-squishy-poo-kolorowe-emoji.jpg,file:///images/18961-large_default-squishy-poo-kolorowe-emoji.jpg,file:///images/18959-large_default-squishy-poo-kolorowe-emoji.jpg,file:///images/18960-large_default-squishy-poo-kolorowe-emoji.jpg,file:///images/18962-large_default-squishy-poo-kolorowe-emoji.jpg,file:///images/18963-large_default-squishy-poo-kolorowe-emoji.jpg,file:///images/18964-large_default-squishy-poo-kolorowe-emoji.jpg,file:///images/18965-large_default-squishy-poo-kolorowe-emoji.jpg,file:///images/18966-large_default-squishy-poo-kolorowe-emoji.jpg,file:///images/18968-large_default-squishy-poo-kolorowe-emoji.jpg;;;;;;;;;;;;;;;;;;;
